Distributor_ID,Jan_2023,Jan_2024,Jan_2025,Jan_2026_assumed,rule_applied
DIST_C_01,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_C_02,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_C_03,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_NW_01,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_NW_02,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_S_01,Favorable,Favorable,Favorable,Favorable,all_agree
DIST_S_02,Favorable,Favorable,Favorable,Favorable,all_agree
DIST_W_01,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_W_02,Moderate,Moderate,Moderate,Moderate,all_agree
DIST_W_03,Moderate,Moderate,Moderate,Moderate,all_agree
